url,product_name,product_price,product_rating,rating_count,product_description
https://www.ulta.com/p/alien-goddess-eau-de-parfum-pimprod2026644,Alien Goddess Eau de Parfum - 3.0 oz,185.0,4.6,4400.0,"MUGLER Alien Goddess Eau de Parfum is a women's perfume that pairs a divine base of vanilla perfume with jasmine from India overlaid by a burst of fresh Italian bergamot, creating a radiant floral bouquet of notes fit for a goddess."
https://www.ulta.com/p/alien-mini-2-piece-discovery-set-pimprod2051900,ALIEN Mini 2-Piece Discovery Set,32.0,4.4,5.0,"ALIEN Mini Fragrance set pairs two iconic Mugler scents, the original Alien Eau de Parfum and the radiant Alien Goddess Eau de Parfum, in trial size bottles. Explore these otherworldly floral gourmand delights this Holiday season."
https://www.ulta.com/p/alien-pulp-eau-de-parfum-fruity-pimprod2056845,Alien Pulp Eau de Parfum Fruity - 3.0 oz,159.0,4.5,741.0,"Discover Alien Pulp Eau de Parfum Fruity, Mugler's new fruity-floral fragrance. This pink Raspberry gourmand blends with a creamy Jasmine extract and fluffy Musk to create this new ultra-femme pulpy addiction."
https://www.ulta.com/p/allover-body-mist-mini-pimprod2055078,Allover Body Mist Mini - Vanilla Flowers,20.0,4.5,45.0,"Mist your mood and own your vibe with irresistible scents that linger. Fenty Skin Body's Allover Body Mists match your mood or enhance your vibe whenever, wherever."
https://www.ulta.com/p/allover-body-mist-pimprod2055074,Allover Body Mist - Vanilla Flowers,35.0,4.5,327.0,"Mist your mood and own your vibe with irresistible scents that linger. Fenty Skin Body's Allover Body Mists match your mood or enhance your vibe whenever, wherever."
https://www.ulta.com/p/allure-eau-de-toilette-spray-pimprod2015852,ALLURE Eau de Toilette Spray - 1.7 oz,124.0,4.6,21.0,"Clean and sheer, warm and sexy, CHANEL ALLURE Eau de Toilette is a floral, fresh oriental fragrance that finds an expression unique to each woman. Difficult to define, impossible to resist."
https://www.ulta.com/p/almost-always-eau-de-parfum-pimprod2055748,ALMOST ALWAYS Eau de Parfum - 3.4 oz,80.0,4.6,648.0,"Introducing ALMOST ALWAYS, the new fragrance from Khloé Kardashian. Because perfection isn't the goal—your presence is. You don't have to get it right every time. You are not defined by the one time you couldn't. You are shaped by the many times you did. Almost always is enough. And so are you."
https://www.ulta.com/p/amazing-grace-ballet-rose-eau-de-toilette-xlsImpprod16341019,Amazing Grace Ballet Rose Eau de Toilette - 2.0 oz,67.0,4.6,1078.0,"Amazing Grace Ballet Rose Eau de Toilette by Philosophy is inspired by the delicate scent of pink rose petals opening at first bloom, and the beautiful femininity."
https://www.ulta.com/p/amazing-grace-eau-de-parfum-xlsImpprod1500100,Amazing Grace Eau de Parfum,77.0,4.5,18746.0,"Amazing Grace, the iconic soft floral by Philosophy is now available as an EDP that features a longer lasting concentration of bergamot, soft muguet blossoms and musk."
https://www.ulta.com/p/amazing-grace-eau-de-toilette-xlsImpprod1500098,Amazing Grace Eau de Toilette - 2.0 oz,67.0,4.5,18746.0,"Feminine. Beautiful. Amazing Grace by Philosophy is always appropriate, soft and feminine. A scent that never offends and is praised by women everywhere."
